total_events_h12,event_type_diversity_h12,unique_repos_h12,last_active_minute_h12,first_active_minute_h12,activity_duration_h12,push_count_h12,pr_count_h12,minutes_since_last_action_h12,is_active_next_hour,total_events_h12_capped,unique_repos_h12_capped,events_per_repo,diversity_score,log_total_events,is_bot_suspect
2,1,1,55,0,38.890872965260115,2.0,0.0,5,0,2,1,1.0,0.5,1.0986122886681098,0
2,1,2,40,11,20.506096654409877,2.0,0.0,20,0,2,2,0.6666666666666666,0.5,1.0986122886681098,0
1,1,1,17,17,0.0,0.0,0.0,43,0,1,1,0.5,1.0,0.6931471805599453,0
5,1,2,49,1,19.253571097331527,5.0,0.0,11,0,5,2,1.6666666666666667,0.2,1.791759469228055,0
1,1,1,39,39,0.0,1.0,0.0,21,0,1,1,0.5,1.0,0.6931471805599453,0
5,1,1,33,1,11.991663771137015,5.0,0.0,27,0,5,1,2.5,0.2,1.791759469228055,0
14,1,1,55,0,16.939614796404005,14.0,0.0,5,1,14,1,7.0,0.07142857142857142,2.70805020110221,0
5,1,1,40,0,15.811388300841896,5.0,0.0,20,1,5,1,2.5,0.2,1.791759469228055,0
11,1,1,50,0,16.787441193290352,11.0,0.0,10,1,11,1,5.5,0.09090909090909091,2.4849066497880004,0
192,1,12,59,0,17.913908885123394,192.0,0.0,1,1,45,6,6.428571428571429,0.022222222222222223,3.828641396489095,0
2,2,1,50,48,1.4142135623730951,1.0,0.0,10,0,2,1,1.0,1.0,1.0986122886681098,0
3,1,1,55,17,19.0,3.0,0.0,5,0,3,1,1.5,0.3333333333333333,1.3862943611198906,0
1,1,1,51,51,0.0,1.0,0.0,9,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,35,35,0.0,1.0,0.0,25,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,30,30,0.0,1.0,0.0,30,0,1,1,0.5,1.0,0.6931471805599453,0
5,2,5,58,51,3.0495901363953815,2.0,0.0,2,1,5,5,0.8333333333333334,0.4,1.791759469228055,0
1,1,1,19,19,0.0,1.0,0.0,41,1,1,1,0.5,1.0,0.6931471805599453,0
4,1,2,53,24,13.52466881911223,0.0,0.0,7,0,4,2,1.3333333333333333,0.25,1.6094379124341003,0
1,1,1,52,52,0.0,1.0,0.0,8,0,1,1,0.5,1.0,0.6931471805599453,0
3,3,2,31,25,3.214550253664318,1.0,1.0,29,1,3,2,1.0,1.0,1.3862943611198906,0
1,1,1,0,0,0.0,1.0,0.0,60,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,59,59,0.0,0.0,0.0,1,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,1,1,0.0,1.0,0.0,59,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,13,13,0.0,0.0,0.0,47,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,43,42,0.7071067811865476,2.0,0.0,17,0,2,1,1.0,0.5,1.0986122886681098,0
3,2,1,58,58,0.0,1.0,0.0,2,0,3,1,1.5,0.6666666666666666,1.3862943611198906,0
7,1,1,40,2,15.03012847266323,7.0,0.0,20,0,7,1,3.5,0.14285714285714285,2.0794415416798357,0
1,1,1,24,24,0.0,1.0,0.0,36,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,56,41,10.606601717798213,0.0,0.0,4,1,2,1,1.0,0.5,1.0986122886681098,0
1,1,1,53,53,0.0,1.0,0.0,7,0,1,1,0.5,1.0,0.6931471805599453,0
1,1,1,32,32,0.0,1.0,0.0,28,0,1,1,0.5,1.0,0.6931471805599453,0
2,1,1,31,30,0.7071067811865476,0.0,0.0,29,0,2,1,1.0,0.5,1.0986122886681098,0
